file_path,timestamp,latitude,longitude
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6077.jpg,2024-09-01 13:31:38+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6078.jpg,2024-09-01 13:31:40+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6079.jpg,2024-09-01 13:31:41+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6080.jpg,2024-09-01 13:31:49+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6081.jpg,2024-09-01 13:31:54+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6082.jpg,2024-09-01 13:31:56+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6083.jpg,2024-09-01 13:32:23+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6084.jpg,2024-09-01 13:32:42+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6085.jpg,2024-09-01 13:32:44+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6086.jpg,2024-09-01 13:32:46+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6087.jpg,2024-09-01 13:32:47+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6088.jpg,2024-09-01 13:32:54+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6089.jpg,2024-09-01 13:32:55+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6090.jpg,2024-09-01 13:32:57+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6091.jpg,2024-09-01 13:32:58+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6092.jpg,2024-09-01 13:33:08+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6093.jpg,2024-09-01 13:33:09+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6094.jpg,2024-09-01 13:33:11+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6095.jpg,2024-09-01 13:33:14+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6096.jpg,2024-09-01 13:33:16+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6097.jpg,2024-09-01 13:33:49+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6098.jpg,2024-09-01 13:33:51+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6099.jpg,2024-09-01 13:33:52+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6100.jpg,2024-09-01 13:33:54+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6101.jpg,2024-09-01 13:33:55+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6118.jpg,2024-09-01 19:24:12+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6119.jpg,2024-09-01 19:24:13+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6120.jpg,2024-09-01 19:24:17+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6121.jpg,2024-09-01 19:24:18+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6122.jpg,2024-09-01 19:24:20+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_6123.jpg,2024-09-01 19:24:22+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_8333.jpg,2024-08-10 17:12:14+00:00,,
x:\Photos\Ferias Família Yokota Beilke 2024\IMG_8339.jpg,2024-08-11 00:39:08+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC00002.JPG,2006-04-04 09:27:09+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC00042.jpg,2006-11-12 07:59:03+00:00,,
x:\Photos\FotosAntigas2001-2006\Dsc00172.jpg,2005-04-30 00:08:42+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC00178.JPG,2006-04-08 08:32:43+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC00179.JPG,2006-04-08 08:35:36+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC00180.JPG,2006-04-08 08:35:51+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC00181.jpg,2006-04-09 00:12:37+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC00425.jpg,2005-02-19 23:11:16+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC01229.JPG,2006-02-03 12:03:54+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC01463ed.jpg,2006-02-27 00:05:45+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC01469ed.jpg,2006-02-27 00:07:39+00:00,,
x:\Photos\FotosAntigas2001-2006\DSC012292.jpg,2006-02-03 12:03:54+00:00,,
x:\Photos\FotosAntigas2001-2006\P1290017.jpg,,,
x:\Photos\FotosAntigas2001-2006\fer2.jpg,1983-08-09 14:18:21+00:00,,
x:\Photos\FotosAntigas2001-2006\O pai e as Crianças.jpg,1985-08-03 14:18:21+00:00,,
x:\Photos\FotosAntigas2001-2006\21571rest.jpg,1959-08-11 19:18:15+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.29\DSC00002.JPG,2005-12-29 15:12:32+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.29\DSC00004.JPG,2005-12-29 16:05:00+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.29\DSC00010.JPG,2005-12-29 17:37:22+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.29\DSC00018.JPG,2005-12-29 18:32:20+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.29\DSC00026.JPG,2005-12-29 19:13:25+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.30\DSC00028.JPG,2005-12-30 14:16:35+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.30\DSC00029.JPG,2005-12-30 14:17:10+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.30\DSC00030.JPG,2005-12-30 14:17:48+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00051.JPG,2005-12-31 12:36:05+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00052.JPG,2005-12-31 12:52:23+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00055.JPG,2005-12-31 21:19:42+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00056.JPG,2005-12-31 21:19:51+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00058.JPG,2005-12-31 21:24:50+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00059.JPG,2005-12-31 21:25:51+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00060.JPG,2005-12-31 22:25:22+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00061.JPG,2005-12-31 23:57:46+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00062.JPG,2005-12-31 23:58:01+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2005.12.31\DSC00064.JPG,2005-12-31 23:59:26+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\arvore de nata.JPG,2005-12-30 14:17:48+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\cachoeira.JPG,2006-01-01 09:51:27+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00067.JPG,2006-01-01 00:12:40+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00070.JPG,2006-01-01 08:00:51+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00071.JPG,2006-01-01 08:09:07+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00073.JPG,2006-01-01 08:11:39+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00074.JPG,2006-01-01 08:12:55+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00075.JPG,2006-01-01 08:14:27+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00076.JPG,2006-01-01 08:15:32+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00077.JPG,2006-01-01 08:30:34+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00078.JPG,2006-01-01 08:32:11+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00079.JPG,2006-01-01 08:32:20+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00080.JPG,2006-01-01 08:32:44+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00081.JPG,2006-01-01 08:32:51+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00082.JPG,2006-01-01 08:34:16+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00085.JPG,2006-01-01 09:20:08+00:00,,
